location_id,org_id,name,address,zip_code,service_type,hours,contact_phone,contact_email,contact_web,notes
1,,Philabundance,"""3616 South Galloway Street, Philadelphia, PA""",19148,Food Bank,Monday to Friday 8:30am to 4:40pm,215-339-0900,digitalmedia@philabundance.org,https://www.facebook.com/Philabundance/,Photo ID
2,,KleinLife,"""10100 Jamison Avenue, Philadelphia, PA""",19116,Food Pantry,Tuesday: 1:00-6:00pm. Wednesday Thursday: 10:00am-4:00pm. Friday: 10:00am-1:00pm by appointment,215-832-0620,,https://jewishphilly.org/resources/mitzvah-food-program/,SmartChoice remote orders must make an appointment.
3,,Beth Sholom Congregation,"""8231 Old York Road, Elkins Park, PA""",19027,Food Pantry,Thursdays: 1:00-3:00pm 6:00-7:00pm or by appointment,215-887-1342,,https://bethsholomcongregation.org/merow-family-mitzvah-food-pantry/,
4,,Neighbor Helping Neighbor Food Bank,"""300A South Carlisle Street, New Bloomfield, PA""",17068,Food Bank,"Monday, Wednesday, and Thursday: 8:45am - 11:45am  Monday and Wednesday 1:00pm - 3:00pm, Tuesday: 1:00pm - 3:00pm & 4:00pm - 6:00pm",223-369-6020,info@nhnfoodbank.com,https://www.facebook.com/nhnfoodbank/,Residency in Perry County. Bring a photo ID; no proof of income or social security cards required. Complete a single form upon arrival providing basic information such as name - address - phone number - household size. Answer one financial question about your household income.
5,,Jubilee Soup Kitchen,"""3103 Brereton Street, Pittsburgh, PA""",15219,Soup Kitchen,Wednesday and Friday - 9:00am to 12:00pm,412-261-5417,info@jubileesoupkitchen.com,https://jubileekitchen.org/,Low-income residents in Zip Code 15219.
6,,Pittsburgh - Squirrel Hill Food Pantry,"""828 Hazelwood Avenue, Pittsburgh, PA""",15217,Food Pantry,Monday to Friday: 9 am - 12:15 pm. Tuesday and Thursday and Friday: 1:30 pm - 3:30 pm,412-421-2708,pantry@jfcspgh.org,https://www.jfcspgh.org/services/squirrel-hill-food-pantry/,People who meet Federal Financial Household Income limits.
7,,Greater Pittsburgh Community Food Bank,"""1 North Linden Street, Duquesne, PA""",15110,Food Bank,"Tuesday: 10AM–3PM - Wednesday: 9AM–3PM -Thursday	: 10AM–3PM - Friday: 9AM–3PM - Saturday: 9–11:30AM - Monday: 9AM–3PM",412-460-3663,,https://pittsburghfoodbank.org/,Income restrictions apply. Check the website.
8,,The Good Samaritan Food Pantry,"""1565 Washington Boulevard, McKeesport, PA""",15133,Food Pantry,Every first and third Fridays of the month from 9 AM to 11:30 AM,412-654-1962,opfar@comcast.net,https://www.facebook.com/profile.php?id=61571179113895,Must be a resident of the South Allegheny school district - Proof of residency
9,,T.A.C.O. Emergency Food Pantry,"""1876 Golden Mile Road, Wysox, PA""",18854,Food Pantry,"Monday, Wednesday, Friday 10am-12pm",570-265-4422,,https://www.fpctowanda.com/taco ,Identification for all adults in each household (18 & over) is required. Must reside in the Northeast Bradford - Towanda or Wyalusing School District areas.
10,,Williamsport Healthy Food Hub,"""3301 Wahoo Drive, Williamsport, PA""",17701,Food Pantry,Monday-Friday 8:00AM-4:30PM,570-321-8023,,https://www.centralpafoodbank.org/who-we-are/our-programs/fresh-express/,
